500 1000
96 10 863
96 65 694
96 97 1000
96 151 527
97 30 624
97 98 1000
97 114 1427
97 214 953
97 337 520
97 452 890
97 470 542
97 484 841
98 11 956
98 99 1000
99 100 1000
99 391 964
99 425 1320
100 91 1316
100 101 1000
100 125 1149
100 189 767
101 12 763
101 82 721
101 102 1000
102 103 1000
102 457 1263
103 2 678
103 104 1000
103 205 1314
103 411 831
104 53 1323
104 105 1000
104 226 663
105 24 1138
105 106 1000
106 54 1349
106 107 1000
106 135 722
106 270 1496
106 280 559
106 333 577
106 416 857
107 73 1085
107 108 1000
107 395 1127
108 109 1000
108 299 1176
108 323 1014
109 110 1000
109 435 1364
110 111 1000
110 457 591
110 488 1212
111 7 616
111 73 1196
111 112 1000
111 182 533
111 364 958
112 113 1000
112 263 1263
113 114 1000
113 255 1112
113 264 1347
114 28 848
114 115 1000
114 434 820
115 116 1000
115 286 551
116 117 1000
116 447 926
117 118 1000
117 154 705
118 68 596
118 119 1000
118 262 695
119 120 1000
120 24 846
120 121 1000
120 470 965
121 122 1000
121 189 1471
122 102 1360
122 123 1000
122 180 1043
122 398 571
123 124 1000
123 362 1081
123 476 1499
124 125 1000
125 126 1000
126 127 1000
126 334 1171
127 42 1497
127 112 1351
127 128 1000
127 196 1239
128 129 1000
128 222 671
128 410 736
129 12 941
129 101 1414
129 130 1000
129 155 664
129 178 1264
129 278 607
129 353 1211
129 357 1075
129 420 871
130 131 1000
130 290 853
130 332 1418
131 111 1491
131 113 1005
131 132 1000
131 317 512
131 385 587
132 71 1080
132 111 698
132 133 1000
132 426 1452
133 8 1236
133 12 923
133 134 1000
133 333 1250
133 363 1445
133 415 1060
134 135 1000
134 304 1070
135 87 894
135 136 1000
135 258 930
135 468 1406
136 137 1000
137 138 1000
137 385 826
137 469 1183
138 44 869
138 107 1423
138 139 1000
138 166 949
138 377 898
138 453 971
139 86 684
139 137 1298
139 140 1000
139 377 1221
140 141 1000
140 226 1227
140 291 1088
141 142 1000
142 143 1000
142 162 1194
142 298 544
143 144 1000
143 292 969
143 378 670
143 485 780
144 145 1000
144 368 901
144 400 706
145 146 1000
146 147 1000
146 270 1034
146 454 975
147 148 1000
147 235 1341
147 349 1109
148 112 507
148 149 1000
148 445 898
149 150 1000
149 190 1225
149 291 697
149 363 851
150 151 1000
150 197 721
151 108 1484
151 152 1000
151 186 1162
152 28 846
152 146 1280
152 153 1000
152 225 1188
152 238 756
153 154 1000
154 155 1000
155 77 541
155 156 1000
155 179 1200
155 301 958
156 86 919
156 157 1000
156 235 1394
156 354 748
156 418 1429
157 158 1000
157 378 1275
157 473 1070
158 89 1109
158 159 1000
158 267 1270
158 329 931
159 160 1000
159 309 918
159 327 1116
159 444 743
160 161 1000
160 181 759
161 22 1254
161 154 660
161 162 1000
161 499 816
162 145 568
162 163 1000
162 245 1071
163 164 1000
163 265 1253
164 8 1489
164 165 1000
164 286 514
165 104 500
165 113 744
165 166 1000
166 167 1000
166 211 1069
166 419 1237
167 168 1000
167 377 1403
168 169 1000
168 440 1388
169 135 1314
169 170 1000
170 171 1000
171 172 1000
171 273 603
172 131 1466
172 173 1000
173 152 620
173 174 1000
173 241 985
173 247 1006
173 321 654
173 451 523
173 477 1251
174 175 1000
174 472 694
174 475 1326
175 176 1000
176 177 1000
176 401 818
177 178 1000
177 192 531
178 6 983
178 129 1467
178 139 876
178 179 1000
179 33 1143
179 113 1017
179 180 1000
179 289 850
179 441 613
180 86 612
180 181 1000
180 190 538
180 378 1045
181 57 1490
181 182 1000
181 213 577
182 183 1000
183 184 1000
183 378 552
183 496 1000
184 185 1000
184 227 1391
184 287 1064
184 326 921
185 23 1228
185 138 1166
185 145 628
185 186 1000
186 87 1004
186 187 1000
186 366 585
187 105 1486
187 188 1000
187 496 545
188 137 1252
188 189 1000
188 231 719
188 233 994
188 492 1323
189 190 1000
190 72 1027
190 191 1000
190 425 658
191 113 565
191 192 1000
192 76 979
192 190 1263
192 193 1000
192 388 628
193 194 1000
194 195 1000
195 96 841
195 175 1360
195 196 1000
195 402 828
196 197 1000
196 469 728
196 476 570
197 152 1329
197 198 1000
198 199 1000
199 102 1026
199 200 1000
200 55 591
200 201 1000
200 403 721
200 418 1258
201 166 1422
201 202 1000
201 406 1120
202 203 1000
203 204 1000
204 187 1301
204 205 1000
204 291 905
204 364 742
205 7 511
205 206 1000
205 449 531
206 74 1128
206 207 1000
207 208 1000
208 209 1000
208 332 1203
209 210 1000
209 297 1351
209 326 968
210 38 1026
210 211 1000
211 118 812
211 159 833
211 212 1000
211 296 633
211 440 1260
212 213 1000
212 443 1463
213 90 1369
213 92 598
213 122 772
213 214 1000
213 319 807
213 344 1217
214 215 1000
215 216 1000
215 328 1130
215 414 1035
216 217 1000
217 218 1000
217 301 1158
218 19 714
218 128 1453
218 142 1424
218 219 1000
219 16 1464
219 220 1000
219 401 973
220 164 526
220 221 1000
220 285 602
220 387 1462
221 10 763
221 176 1471
221 222 1000
221 236 631
222 181 1456
222 223 1000
222 317 1120
222 351 1415
223 224 1000
224 225 1000
224 287 635
224 404 776
224 498 1047
225 226 1000
226 227 1000
227 167 955
227 228 1000
227 276 964
227 351 626
228 229 1000
229 230 1000
229 381 777
229 397 505
230 19 1178
230 231 1000
230 400 1250
231 160 504
231 220 581
231 232 1000
231 353 1258
232 233 1000
232 356 797
233 234 1000
234 159 656
234 187 844
234 235 1000
235 143 1215
235 236 1000
235 412 1443
235 474 1148
236 97 1439
236 237 1000
236 257 553
237 223 985
237 238 1000
237 282 844
238 239 1000
239 141 1161
239 165 502
239 240 1000
239 443 793
240 241 1000
240 336 975
240 382 977
241 199 786
241 211 843
241 242 1000
241 355 885
242 202 649
242 243 1000
243 168 614
243 195 593
243 244 1000
244 245 1000
244 295 1144
244 424 1153
245 246 1000
245 339 1454
246 247 1000
247 248 1000
248 49 1471
248 133 828
248 249 1000
249 250 1000
250 69 1481
250 238 983
250 251 1000
251 252 1000
252 33 802
252 55 918
252 92 1057
252 156 1028
252 229 841
252 253 1000
252 326 891
253 8 1036
253 50 719
253 59 1125
253 76 916
253 78 736
253 254 1000
254 23 1469
254 143 1427
254 156 976
254 255 1000
254 326 609
255 256 1000
256 257 1000
256 316 1168
256 450 1415
257 258 1000
258 13 1439
258 80 1339
258 98 804
258 253 682
258 259 1000
259 14 1164
259 35 1464
259 200 545
259 260 1000
259 342 679
260 100 557
260 182 616
260 261 1000
260 270 1266
260 474 839
261 262 1000
262 181 1292
262 240 529
262 263 1000
263 117 1409
263 146 1394
263 264 1000
263 381 970
264 194 730
264 226 1436
264 265 1000
265 108 679
265 266 1000
265 313 639
265 340 972
266 218 855
266 249 600
266 267 1000
266 278 1060
266 416 1394
267 94 552
267 141 1292
267 268 1000
267 310 599
267 436 1136
268 33 942
268 114 1034
268 269 1000
268 441 506
269 38 1388
269 270 1000
269 307 1393
270 44 1256
270 96 1011
270 271 1000
270 412 1126
271 141 1369
271 272 1000
272 60 517
272 109 801
272 241 1376
272 273 1000
273 274 1000
273 389 1429
274 14 1145
274 222 1367
274 275 1000
275 276 1000
275 286 1437
276 152 692
276 202 820
276 277 1000
276 385 894
276 454 1045
277 278 1000
277 372 1264
277 450 732
278 279 1000
278 382 1038
279 280 1000
279 378 773
280 281 1000
280 463 555
281 38 792
281 182 1097
281 282 1000
281 393 847
281 446 866
282 283 1000
283 140 819
283 223 1085
283 284 1000
283 292 1281
283 468 1261
284 157 617
284 232 1177
284 285 1000
285 215 1275
285 286 1000
285 478 666
286 91 835
286 287 1000
287 288 1000
287 295 548
287 416 642
288 62 1217
288 218 825
288 289 1000
289 179 862
289 286 1254
289 290 1000
289 389 922
289 472 1368
290 170 1426
290 186 1085
290 291 1000
291 292 1000
291 421 1363
291 458 1093
292 181 1318
292 196 777
292 293 1000
293 237 1077
293 294 1000
294 295 1000
295 296 1000
296 227 1071
296 297 1000
296 313 1267
297 7 1220
297 86 1134
297 119 741
297 298 1000
297 486 1065
298 299 1000
298 307 720
299 239 878
299 300 1000
300 66 1491
300 301 1000
300 425 1319
301 224 1245
301 302 1000
302 108 922
302 111 1321
302 303 1000
303 304 1000
304 86 1448
304 305 1000
304 314 992
305 9 1497
305 306 1000
305 427 590
306 307 1000
307 258 843
307 308 1000
308 309 1000
308 336 1418
309 109 522
309 310 1000
310 241 502
310 255 1155
310 311 1000
310 374 689
310 451 1223
311 30 1349
311 307 1113
311 312 1000
312 189 811
312 313 1000
312 358 699
312 432 992
313 314 1000
313 341 1339
313 394 626
313 424 561
314 192 1194
314 315 1000
314 329 1129
315 285 1491
315 316 1000
315 441 1247
316 83 1167
316 317 1000
317 35 1071
317 318 1000
318 247 737
318 319 1000
319 56 535
319 320 1000
319 404 1199
320 167 1418
320 191 1383
320 321 1000
320 369 1329
321 322 1000
321 341 1491
322 316 604
322 323 1000
322 487 1436
323 324 1000
323 327 611
324 325 1000
324 449 711
325 91 524
325 326 1000
325 447 1248
326 265 632
326 327 1000
327 132 1088
327 305 550
327 328 1000
327 422 599
328 329 1000
328 409 1071
329 330 1000
330 89 992
330 331 1000
330 392 1382
331 101 841
331 158 1455
331 187 1005
331 332 1000
331 399 840
332 251 1365
332 333 1000
333 306 979
333 334 1000
334 114 1308
334 335 1000
334 387 1012
335 77 980
335 336 1000
335 466 1141
335 469 803
336 245 710
336 337 1000
336 373 858
336 434 1162
337 111 1186
337 200 1452
337 338 1000
338 212 1354
338 263 1063
338 339 1000
338 398 544
339 26 1426
339 340 1000
340 164 1144
340 341 1000
340 398 578
341 180 574
341 323 1117
341 342 1000
342 343 1000
343 63 590
343 316 1156
343 344 1000
343 348 1376
343 405 944
344 168 1058
344 244 687
344 345 1000
344 429 1164
344 447 1460
345 346 1000
346 347 1000
347 6 838
347 26 872
347 348 1000
347 497 1231
348 273 1230
348 349 1000
348 397 809
348 459 1354
348 493 576
349 18 543
349 350 1000
350 124 776
350 146 666
350 351 1000
351 84 571
351 142 1040
351 352 1000
352 41 889
352 248 1189
352 288 1063
352 289 1042
352 353 1000
352 434 1223
353 47 987
353 130 967
353 354 1000
354 355 1000
354 422 1426
355 43 576
355 245 1271
355 356 1000
355 403 1451
356 110 672
356 183 725
356 355 1277
356 357 1000
356 462 1141
357 358 1000
357 445 663
358 148 1003
358 177 655
358 201 1203
358 359 1000
359 288 658
359 360 1000
360 361 1000
361 197 669
361 362 1000
362 345 582
362 363 1000
362 424 737
363 37 1272
363 364 1000
364 365 1000
364 478 1236
365 143 517
365 366 1000
366 367 1000
367 272 523
367 368 1000
368 113 1151
368 369 1000
369 121 994
369 235 1239
369 358 800
369 370 1000
370 83 983
370 227 1019
370 260 599
370 371 1000
370 420 829
371 75 908
371 246 634
371 285 506
371 372 1000
372 77 1416
372 187 1101
372 373 1000
373 351 1147
373 374 1000
374 81 970
374 178 1282
374 375 1000
375 44 1215
375 79 1252
375 120 736
375 139 896
375 366 610
375 376 1000
375 443 648
375 479 671
376 217 719
376 377 1000
376 455 1274
377 98 1325
377 273 1284
377 378 1000
377 422 620
378 267 966
378 379 1000
379 12 747
379 339 571
379 380 1000
379 387 740
379 431 926
380 381 1000
381 60 1472
381 188 1427
381 240 1040
381 382 1000
382 7 1189
382 67 621
382 383 1000
382 404 1157
382 470 1213
383 384 1000
384 286 1382
384 385 1000
384 394 792
385 16 1210
385 365 593
385 386 1000
386 333 1320
386 387 1000
387 129 1185
387 294 701
387 378 1025
387 388 1000
388 238 1002
388 389 1000
389 241 1202
389 390 1000
390 74 964
390 391 1000
391 261 1140
391 392 1000
391 468 552
392 151 793
392 196 940
392 212 781
392 393 1000
393 259 912
393 282 939
393 394 1000
394 103 1443
394 257 735
394 365 1448
394 395 1000
394 447 844
395 190 1130
395 268 831
395 312 822
395 337 999
395 396 1000
396 97 937
396 362 1316
396 397 1000
397 398 1000
397 482 1166
398 399 1000
398 436 990
399 109 1267
399 400 1000
399 486 534
400 319 1381
400 321 1148
400 401 1000
401 58 1009
401 402 1000
402 63 670
402 337 1337
402 403 1000
402 454 1167
403 147 832
403 180 586
403 277 893
403 353 702
403 404 1000
404 335 993
404 405 1000
405 63 666
405 406 1000
406 119 1107
406 200 833
406 258 515
406 268 905
406 392 644
406 407 1000
406 470 1241
407 408 1000
408 168 739
408 409 1000
408 478 937
409 155 930
409 363 1480
409 401 1001
409 410 1000
410 110 1473
410 128 674
410 356 1444
410 411 1000
411 363 612
411 412 1000
412 110 525
412 216 788
412 413 1000
412 417 1179
412 420 908
412 466 1266
413 103 549
413 372 1070
413 414 1000
414 100 606
414 213 704
414 237 1021
414 415 1000
415 17 724
415 54 812
415 167 1039
415 361 807
415 413 866
415 416 1000
416 16 1364
416 73 949
416 96 516
416 247 975
416 293 1015
416 417 1000
417 178 704
417 229 992
417 270 830
417 418 1000
418 419 1000
418 475 765
419 343 596
419 420 1000
420 90 1278
420 128 1330
420 226 704
420 421 1000
421 57 1274
421 224 1455
421 264 1161
421 333 560
421 422 1000
422 385 1060
422 423 1000
423 424 1000
424 425 1000
424 456 971
424 464 1152
425 364 1444
425 426 1000
425 448 1449
426 3 1304
426 427 1000
427 30 679
427 393 1413
427 428 1000
428 6 988
428 106 1297
428 227 1227
428 261 569
428 358 1490
428 404 1438
428 429 1000
429 430 1000
430 187 1209
430 414 514
430 431 1000
431 9 1302
431 101 793
431 134 520
431 216 1078
431 432 1000
432 433 1000
433 284 765
433 434 1000
434 435 1000
435 156 1114
435 436 1000
436 308 505
436 432 1191
436 437 1000
437 69 889
437 384 805
437 438 1000
438 439 1000
439 440 1000
440 52 902
440 132 906
440 229 947
440 392 889
440 441 1000
441 323 721
441 442 1000
441 445 709
442 275 1267
442 443 1000
443 5 1248
443 313 886
443 444 1000
444 14 738
444 445 1000
445 227 1333
445 229 931
445 241 1275
445 446 1000
446 132 916
446 139 1124
446 237 661
446 447 1000
447 409 816
447 448 1000
448 449 1000
448 478 961
449 104 611
449 338 1095
449 450 1000
450 203 552
450 451 1000
451 189 1030
451 231 662
451 452 1000
452 139 545
452 249 1083
452 327 797
452 453 1000
453 116 1363
453 117 1050
453 450 800
453 454 1000
454 120 1363
454 455 1000
455 456 1000
456 263 527
456 339 624
456 457 1000
457 227 1038
457 328 1393
457 444 556
457 458 1000
458 182 585
458 459 1000
459 154 1361
459 460 1000
460 194 1361
460 221 672
460 244 593
460 461 1000
461 334 1236
461 462 1000
462 19 1478
462 329 985
462 463 1000
463 60 1112
463 203 1492
463 464 1000
464 17 1484
464 59 1176
464 105 575
464 446 929
464 465 1000
465 97 1085
465 124 1229
465 173 1419
465 255 1088
465 466 1000
466 23 672
466 71 1435
466 467 1000
467 60 546
467 321 1132
467 452 1395
467 468 1000
468 244 1360
468 469 1000
469 252 631
469 313 947
469 468 954
469 470 1000
470 272 1147
470 440 1026
470 471 1000
471 18 500
471 39 1438
471 267 1101
471 282 881
471 472 1000
472 352 694
472 473 1000
473 221 724
473 230 1417
473 463 771
473 474 1000
474 193 1170
474 475 1000
475 76 611
475 91 803
475 382 540
475 428 1186
475 476 1000
476 148 991
476 307 1313
476 477 1000
477 193 876
477 213 1063
477 281 1316
477 478 1000
478 1 1479
478 479 1000
479 328 1280
479 462 1490
479 480 1000
480 23 1009
480 112 504
480 392 1386
480 481 1000
481 160 1322
481 482 1000
482 378 713
482 418 640
482 483 1000
483 91 971
483 434 774
483 484 1000
484 13 1099
484 388 1250
484 485 1000
485 144 1323
485 486 1000
486 3 511
486 290 989
486 487 1000
487 488 1000
488 110 1086
488 489 1000
489 42 827
489 186 514
489 311 992
489 395 837
489 490 1000
490 491 1000
491 259 926
491 492 1000
492 288 1355
492 370 681
492 493 1000
493 106 1144
493 251 770
493 451 921
493 475 1366
493 494 1000
494 495 1000
495 30 1481
495 52 932
495 147 741
495 240 1034
495 384 1266
495 496 1000
496 43 1367
496 57 720
496 314 980
496 353 1062
496 390 769
496 497 1000
497 224 1194
497 335 957
497 498 1000
498 37 1496
498 59 675
498 109 530
498 226 905
498 499 1000
499 31 952
499 281 780
499 500 1000
500 1 1000
500 372 1155
500 461 655
