100 400
59 5 535
59 11 147
59 40 829
59 60 200
60 11 667
60 26 809
60 61 200
60 69 391
60 95 185
61 24 289
61 62 200
61 78 682
61 100 514
62 63 200
63 28 617
63 38 113
63 64 200
63 79 541
64 2 600
64 32 1044
64 43 137
64 65 200
64 77 863
64 87 840
64 93 406
64 95 190
65 23 856
65 39 462
65 66 200
65 67 853
65 93 675
65 96 210
65 98 971
66 67 200
66 75 909
66 99 987
67 1 428
67 45 188
67 56 452
67 68 200
67 73 285
67 74 459
67 96 624
68 5 406
68 34 205
68 36 1065
68 69 200
68 89 325
69 6 694
69 70 200
69 98 932
70 24 464
70 29 986
70 37 865
70 48 939
70 71 200
70 74 1078
71 44 463
71 46 139
71 54 704
71 57 1042
71 59 801
71 70 369
71 72 200
71 90 238
71 100 469
72 10 1070
72 22 245
72 31 154
72 47 118
72 56 753
72 73 200
72 85 710
72 87 361
73 15 472
73 40 627
73 64 416
73 68 1035
73 74 200
74 19 610
74 64 278
74 75 200
74 90 584
75 10 315
75 30 893
75 47 554
75 54 799
75 76 200
76 18 350
76 35 338
76 45 854
76 56 312
76 77 200
77 20 797
77 24 466
77 27 586
77 37 128
77 62 616
77 78 200
77 84 994
78 4 276
78 44 785
78 58 637
78 66 297
78 79 200
79 8 274
79 12 342
79 23 789
79 24 1018
79 45 219
79 49 506
79 70 670
79 80 200
79 88 939
80 65 763
80 81 200
80 85 139
80 96 747
81 8 742
81 48 298
81 73 550
81 82 200
82 20 958
82 32 137
82 49 1046
82 61 712
82 79 755
82 83 200
83 39 178
83 84 200
84 31 216
84 56 816
84 58 973
84 69 144
84 70 105
84 85 200
84 86 1063
84 99 844
85 12 827
85 39 319
85 86 200
86 1 797
86 13 473
86 64 663
86 87 200
87 44 711
87 60 309
87 88 200
87 93 996
88 17 621
88 22 915
88 42 653
88 58 291
88 70 195
88 77 903
88 89 200
89 18 988
89 71 880
89 90 200
90 35 451
90 36 392
90 43 767
90 67 802
90 91 200
90 93 205
91 5 876
91 8 1052
91 9 206
91 78 1060
91 80 1050
91 92 200
92 65 246
92 80 215
92 93 200
93 5 154
93 18 239
93 24 899
93 30 580
93 34 760
93 68 694
93 75 632
93 94 200
94 17 825
94 44 770
94 45 629
94 70 249
94 95 200
95 3 436
95 14 832
95 56 436
95 71 192
95 96 200
96 7 551
96 17 863
96 30 716
96 51 1054
96 97 200
97 49 833
97 71 949
97 98 200
98 2 722
98 59 237
98 74 931
98 90 649
98 99 200
99 3 678
99 18 257
99 39 1003
99 47 307
99 82 772
99 96 866
99 100 200
100 1 200
100 2 382
100 12 922
100 42 1098
